request_id,customer_segment,service_area,channel,region,request_type,urgency_score,previous_cases_90d,account_age_months,open_cases_at_submission,avg_response_minutes_30d,sentiment_score_at_submission,missing_documents_flag,weekend_submission,priority_class,sla_breach,resolution_days_post_outcome,post_resolution_status
REQ-00061,Public sector,HR services,Email,South East,Billing query,4,1,51,1,62.7,0.084,1,0,Standard,1,6.8,Late - complex
REQ-00062,Enterprise,Finance operations,Chat,Midlands,Complaint,4,3,33,1,94.9,0.351,0,0,Urgent,1,8.8,Late - staffing
REQ-00063,Public sector,IT support,Chat,London,Change request,4,3,15,1,86.2,0.231,0,0,Standard,1,6.8,Late - complex
REQ-00064,Individual,IT support,Email,North West,Technical incident,2,2,7,0,41.1,0.034,0,0,Standard,0,3.6,On time
REQ-00065,Public sector,Customer success,Email,London,Billing query,4,2,11,2,58.6,-0.107,0,0,Standard,1,8.2,Late - complex
REQ-00066,Enterprise,HR services,Phone,Midlands,Policy question,4,0,8,1,62.1,0.424,0,0,Standard,1,8.7,Late - complex
REQ-00067,Enterprise,Customer success,Chat,Scotland,Billing query,5,1,38,2,96.2,0.573,0,0,Urgent,1,6.5,Late - complex
REQ-00068,SME,IT support,Portal,South East,Access issue,3,3,15,0,29.1,0.538,1,0,Standard,1,5.3,Late - complex
REQ-00069,SME,HR services,Email,Midlands,Policy question,3,1,10,0,140.6,-0.483,1,0,Low,0,3.4,On time
REQ-00070,Enterprise,IT support,Phone,Northern Ireland,Technical incident,3,2,21,1,43.4,0.637,0,0,Standard,1,4.8,Late - staffing
REQ-00071,SME,IT support,Portal,London,Policy question,1,0,50,0,69.7,-0.111,0,0,Low,0,0.6,On time
REQ-00072,Enterprise,IT support,Portal,Midlands,Technical incident,1,2,36,2,29.4,-0.29,0,0,Standard,1,3.6,Late - dependency
REQ-00073,Individual,IT support,Chat,Midlands,Billing query,1,3,11,2,24.6,-0.026,0,0,Low,0,4.8,On time
REQ-00074,SME,Customer success,Chat,London,Billing query,4,4,54,0,39.4,0.424,0,0,Urgent,1,7.7,Late - complex
REQ-00075,SME,Finance operations,Chat,South East,Change request,3,1,35,0,36.0,0.293,0,0,Low,1,6.3,Late - complex
REQ-00076,SME,HR services,Phone,North West,Change request,5,1,14,1,55.5,-0.065,0,0,Urgent,0,5.2,On time
REQ-00077,SME,HR services,Portal,South East,Billing query,4,0,50,1,35.7,0.427,0,0,Standard,1,7.7,Late - dependency
REQ-00078,Public sector,Finance operations,Portal,Wales,Technical incident,1,0,71,5,94.3,0.113,0,0,Low,0,4.7,On time
REQ-00079,Enterprise,HR services,Email,North West,Billing query,1,2,39,0,42.6,-0.208,1,0,Low,0,1.9,On time
REQ-00080,Individual,IT support,Email,London,Access issue,2,3,12,4,38.7,-0.269,0,0,Standard,1,8.1,Late - complex
REQ-00081,Public sector,Customer success,Email,London,Technical incident,5,3,22,4,56.2,0.235,0,0,Urgent,1,9.1,Late - staffing
REQ-00082,Enterprise,Customer success,Email,London,Access issue,1,1,43,1,104.7,0.013,0,0,Low,1,4.5,Late - staffing
REQ-00083,Individual,Facilities,Portal,South East,Policy question,1,2,71,1,77.5,-0.569,0,0,Low,0,3.5,Early close
REQ-00084,SME,HR services,Phone,North West,Policy question,1,1,66,0,66.5,0.431,0,0,Low,0,3.2,On time
REQ-00085,SME,IT support,Portal,London,Access issue,3,1,67,0,19.8,-0.166,0,0,Low,0,6.7,On time
REQ-00086,SME,Customer success,Portal,South East,Access issue,5,1,60,1,30.0,0.766,1,1,Urgent,1,8.7,Late - staffing
REQ-00087,Public sector,Finance operations,Portal,South East,Billing query,4,3,41,3,25.3,-0.581,0,0,Urgent,1,8.4,Late - complex
REQ-00088,Enterprise,IT support,Portal,Wales,Complaint,3,0,47,0,115.7,-0.031,0,0,Standard,1,5.5,Late - staffing
REQ-00089,SME,Finance operations,Phone,Midlands,Technical incident,1,1,53,2,88.6,-0.265,0,0,Standard,0,3.7,On time
REQ-00090,Enterprise,Customer success,Portal,Scotland,Policy question,2,1,51,2,39.8,-0.389,1,0,Standard,1,4.3,Late - complex
REQ-00091,SME,Facilities,Portal,Midlands,Access issue,3,4,46,3,50.2,-0.169,0,0,Urgent,1,7.3,Late - complex
REQ-00092,Public sector,Facilities,Phone,London,Technical incident,2,0,10,0,41.1,0.847,0,0,Low,1,8.6,Late - complex
REQ-00093,Enterprise,Customer success,Email,South East,Access issue,4,4,63,0,39.0,0.115,1,0,Urgent,1,5.1,Late - dependency
REQ-00094,Enterprise,IT support,Portal,Northern Ireland,Technical incident,5,2,1,2,86.1,-0.306,0,1,Urgent,1,8.7,Late - complex
REQ-00095,SME,Customer success,Portal,Midlands,Change request,2,1,31,1,59.9,-0.773,0,1,Low,0,3.9,On time
REQ-00096,Public sector,Finance operations,Portal,Wales,Policy question,2,1,31,0,142.8,-0.725,0,0,Low,1,5.1,Late - staffing
REQ-00097,Enterprise,Facilities,Email,South East,Billing query,1,0,71,1,113.8,-0.191,0,1,Low,1,4.0,Late - complex
REQ-00098,SME,IT support,Portal,North West,Access issue,4,0,7,0,115.8,-0.235,1,1,Urgent,1,7.0,Late - complex
REQ-00099,SME,Customer success,Portal,South East,Access issue,3,1,34,1,93.5,-0.051,0,0,Standard,0,4.2,Early close
REQ-00100,Individual,Finance operations,Portal,Midlands,Policy question,2,0,26,3,55.2,-0.972,0,0,Standard,1,5.4,Late - complex
REQ-00101,Individual,IT support,Email,Northern Ireland,Change request,2,1,7,0,90.9,0.009,0,0,Low,1,4.8,Late - staffing
REQ-00102,Public sector,HR services,Portal,Wales,Billing query,1,3,16,1,57.8,0.512,0,0,Standard,0,5.7,On time
REQ-00103,SME,IT support,Phone,London,Technical incident,3,1,30,0,127.1,0.78,0,0,Urgent,1,6.0,Late - complex
REQ-00104,Individual,IT support,Portal,South East,Technical incident,4,1,66,1,84.1,-0.803,1,0,Urgent,1,7.9,Late - complex
REQ-00105,Individual,Facilities,Email,London,Access issue,2,0,28,1,79.2,-0.311,0,0,Low,1,4.3,Late - dependency
REQ-00106,Public sector,Finance operations,Portal,North West,Access issue,1,1,63,1,74.4,-0.334,1,0,Standard,1,5.6,Late - complex
REQ-00107,Enterprise,Customer success,Portal,North West,Billing query,3,0,53,1,130.9,0.116,0,0,Standard,0,5.1,Early close
REQ-00108,SME,Finance operations,Portal,South East,Technical incident,4,2,59,2,19.8,-0.499,0,0,Urgent,0,6.2,On time
REQ-00109,SME,Facilities,Phone,London,Policy question,2,0,61,2,134.3,0.807,0,1,Low,1,3.9,Late - staffing
REQ-00110,Individual,HR services,Chat,London,Technical incident,2,1,51,1,63.5,0.07,0,1,Low,1,4.5,Late - complex
REQ-00111,Enterprise,Facilities,Portal,London,Change request,1,3,53,4,20.8,-0.005,0,0,Standard,1,7.1,Late - complex
REQ-00112,SME,HR services,Portal,Midlands,Change request,4,2,11,1,43.7,0.767,0,0,Standard,0,4.8,On time
REQ-00113,SME,HR services,Chat,South East,Complaint,5,0,51,2,12.2,0.043,0,1,Urgent,1,8.6,Late - staffing
REQ-00114,Public sector,Customer success,Email,London,Change request,4,2,4,0,92.9,0.23,0,0,Urgent,1,6.4,Late - dependency
REQ-00115,SME,Finance operations,Portal,London,Change request,3,1,53,2,33.7,-0.288,0,1,Low,1,7.5,Late - staffing
REQ-00116,Individual,IT support,Portal,Wales,Change request,4,1,47,0,75.9,-0.567,0,0,Standard,1,6.4,Late - complex
REQ-00117,Individual,Facilities,Email,North West,Technical incident,2,2,54,0,109.7,-0.225,0,0,Standard,1,4.5,Late - dependency
REQ-00118,Public sector,Customer success,Phone,South East,Change request,1,0,46,1,46.5,1.0,0,0,Low,0,1.5,On time
REQ-00119,Enterprise,IT support,Email,Scotland,Complaint,2,2,27,2,60.6,0.335,0,0,Standard,0,3.2,On time
REQ-00120,Public sector,Finance operations,Chat,Midlands,Policy question,4,2,27,0,24.4,0.174,0,0,Standard,0,6.2,Early close
REQ-00121,Public sector,Customer success,Email,North West,Technical incident,4,3,43,2,56.4,-0.389,0,0,Urgent,1,7.9,Late - complex
REQ-00122,Public sector,Facilities,Portal,South East,Technical incident,5,1,34,0,160.1,0.46,1,1,Urgent,1,6.8,Late - staffing
REQ-00123,SME,Customer success,Email,London,Change request,5,1,25,0,97.2,-0.561,0,0,Urgent,1,8.1,Late - staffing
REQ-00124,Enterprise,HR services,Portal,Northern Ireland,Policy question,2,2,35,2,60.7,-0.655,0,0,Standard,0,2.5,On time
REQ-00125,SME,Facilities,Portal,Northern Ireland,Change request,1,3,39,1,48.6,-0.201,1,0,Low,1,5.9,Late - dependency
REQ-00126,Enterprise,Finance operations,Portal,South East,Change request,2,6,18,1,68.5,0.93,0,0,Standard,1,7.9,Late - complex
REQ-00127,Enterprise,Customer success,Portal,Scotland,Complaint,5,1,46,2,74.6,0.904,0,0,Urgent,1,8.1,Late - complex
REQ-00128,SME,Finance operations,Phone,London,Billing query,5,4,23,1,55.3,-0.153,0,0,Urgent,1,9.3,Late - staffing
REQ-00129,SME,Facilities,Portal,Midlands,Technical incident,1,1,20,0,88.6,-0.253,0,0,Low,1,6.6,Late - staffing
REQ-00130,Public sector,Finance operations,Portal,South East,Change request,1,2,30,0,36.6,-0.688,0,0,Low,1,4.6,Late - staffing
REQ-00131,SME,HR services,Email,London,Complaint,3,2,8,0,36.5,0.085,0,0,Urgent,1,5.5,Late - complex
REQ-00132,Individual,Facilities,Email,Scotland,Complaint,4,5,43,1,83.0,0.123,0,0,Urgent,1,9.1,Late - dependency
REQ-00133,Public sector,HR services,Phone,Scotland,Technical incident,5,1,53,1,29.1,0.405,1,0,Urgent,1,6.7,Late - staffing
REQ-00134,Enterprise,Customer success,Phone,Midlands,Technical incident,4,3,68,1,95.5,0.46,0,0,Standard,1,7.5,Late - staffing
REQ-00135,Public sector,Finance operations,Phone,South East,Access issue,2,0,21,1,69.5,-0.039,0,0,Low,1,4.4,Late - staffing
REQ-00136,SME,Facilities,Portal,South East,Complaint,1,3,39,0,6.0,0.3,0,0,Low,1,4.3,Late - complex
REQ-00137,Individual,Finance operations,Email,South East,Billing query,4,1,36,2,73.8,-0.265,0,1,Urgent,1,6.9,Late - dependency
REQ-00138,Enterprise,Finance operations,Email,North West,Technical incident,3,1,52,0,11.0,0.292,0,0,Standard,1,7.4,Late - dependency
REQ-00139,Individual,Finance operations,Portal,Scotland,Change request,5,2,45,0,94.3,-0.178,1,0,Urgent,1,9.7,Late - complex
REQ-00140,SME,IT support,Portal,London,Policy question,3,0,58,2,61.3,0.257,0,0,Low,0,5.3,Early close
REQ-00141,Enterprise,IT support,Portal,Midlands,Billing query,3,2,61,0,134.8,0.22,0,0,Standard,1,7.0,Late - staffing
REQ-00142,Enterprise,Facilities,Portal,Scotland,Access issue,2,0,9,0,107.5,0.081,1,0,Low,0,3.0,Early close
REQ-00143,Individual,Facilities,Portal,Scotland,Change request,1,2,26,2,32.9,0.408,0,0,Low,1,2.0,Late - staffing
REQ-00144,Public sector,Facilities,Portal,North West,Technical incident,5,0,47,2,5.0,-0.657,0,0,Urgent,1,8.2,Late - complex
REQ-00145,Enterprise,IT support,Phone,London,Access issue,5,0,39,0,43.6,-0.429,0,0,Standard,1,5.1,Late - complex
REQ-00146,SME,Finance operations,Chat,South East,Technical incident,1,3,35,1,27.3,-0.072,0,1,Urgent,0,1.0,On time
REQ-00147,Enterprise,IT support,Portal,North West,Billing query,4,2,13,2,133.9,-0.599,0,0,Standard,1,7.3,Late - complex
REQ-00148,Enterprise,Facilities,Chat,London,Change request,2,0,41,1,69.6,-0.133,0,0,Standard,1,5.4,Late - dependency
REQ-00149,Enterprise,Customer success,Portal,Midlands,Billing query,3,3,53,1,102.7,-0.119,0,0,Urgent,1,6.4,Late - staffing
REQ-00150,SME,IT support,Chat,Scotland,Billing query,5,2,3,1,60.0,0.639,0,0,Urgent,1,10.2,Late - staffing
REQ-00151,Individual,Facilities,Chat,Scotland,Access issue,5,0,43,3,63.7,0.114,0,0,Urgent,1,8.4,Late - staffing
REQ-00152,Individual,IT support,Portal,Scotland,Technical incident,1,2,65,0,68.9,0.513,1,0,Low,1,4.5,Late - complex
REQ-00153,SME,Finance operations,Phone,Midlands,Policy question,2,0,41,1,108.7,0.186,1,0,Low,0,5.0,Early close
REQ-00154,Enterprise,IT support,Chat,North West,Change request,5,3,68,0,80.9,-0.191,0,0,Urgent,1,10.6,Late - complex
REQ-00155,SME,Finance operations,Chat,South East,Policy question,5,6,26,1,33.0,0.11,1,0,Urgent,1,10.2,Late - staffing
REQ-00156,Public sector,Facilities,Chat,Midlands,Billing query,1,1,1,0,126.8,0.378,0,0,Low,1,3.6,Late - complex
REQ-00157,SME,Customer success,Email,South East,Billing query,5,2,49,0,59.8,0.587,0,0,Urgent,0,5.9,On time
REQ-00158,Public sector,IT support,Portal,Scotland,Billing query,3,0,16,0,54.1,-0.01,0,0,Low,0,2.5,On time
REQ-00159,Public sector,HR services,Phone,South East,Complaint,3,6,1,0,5.0,-0.691,0,0,Urgent,1,7.7,Late - dependency
REQ-00160,Individual,Facilities,Email,Scotland,Access issue,1,0,13,1,92.2,-0.723,0,1,Low,1,2.9,Late - complex
REQ-00161,SME,Customer success,Email,Scotland,Complaint,4,1,67,0,73.5,-0.097,0,0,Standard,1,6.8,Late - dependency
REQ-00162,Individual,Facilities,Portal,Wales,Billing query,4,3,56,0,73.5,-1.0,0,1,Standard,1,8.1,Late - complex
REQ-00163,SME,IT support,Email,North West,Access issue,4,1,20,1,55.9,0.858,0,0,Standard,1,4.8,Late - dependency
REQ-00164,SME,Facilities,Portal,London,Billing query,4,2,43,1,49.9,0.319,0,0,Urgent,1,6.0,Late - dependency
REQ-00165,Enterprise,Finance operations,Phone,Scotland,Access issue,5,1,25,2,57.1,-0.236,0,0,Urgent,1,7.5,Late - complex
REQ-00166,Enterprise,Customer success,Portal,London,Change request,5,2,13,2,86.2,-0.449,1,0,Urgent,1,8.3,Late - complex
REQ-00167,Individual,Finance operations,Phone,Scotland,Technical incident,4,1,71,0,92.4,0.513,1,0,Urgent,0,4.8,On time
REQ-00168,Individual,Facilities,Phone,Wales,Billing query,5,4,58,0,61.9,-0.451,0,0,Urgent,1,8.7,Late - complex
REQ-00169,SME,IT support,Email,Midlands,Technical incident,4,2,26,0,103.2,-0.408,0,0,Urgent,1,6.7,Late - dependency
REQ-00170,Individual,Finance operations,Email,London,Technical incident,4,2,26,1,67.2,-0.295,0,1,Urgent,1,5.8,Late - complex
REQ-00171,SME,Customer success,Portal,South East,Complaint,3,1,58,0,52.4,0.101,0,0,Standard,1,5.7,Late - dependency
REQ-00172,Enterprise,Facilities,Chat,Scotland,Complaint,4,1,33,0,76.9,0.329,0,0,Urgent,1,6.9,Late - complex
REQ-00173,SME,Finance operations,Phone,London,Technical incident,1,2,27,3,22.4,0.587,0,0,Low,1,4.4,Late - complex
REQ-00174,Individual,Customer success,Portal,North West,Change request,3,0,28,0,78.1,0.52,1,0,Standard,1,6.1,Late - dependency
REQ-00175,SME,Customer success,Portal,London,Change request,3,2,32,2,16.0,0.05,0,0,Standard,1,7.1,Late - complex
REQ-00176,SME,Finance operations,Portal,London,Technical incident,5,2,38,1,34.0,0.509,0,0,Urgent,1,9.2,Late - dependency
REQ-00177,Enterprise,HR services,Email,North West,Technical incident,1,2,3,2,5.0,-0.252,0,1,Low,1,4.0,Late - complex
REQ-00178,Individual,HR services,Chat,Scotland,Access issue,4,1,35,1,63.9,-0.769,0,0,Standard,0,3.5,On time
REQ-00179,Individual,Facilities,Phone,Wales,Change request,1,1,32,0,126.3,-0.252,0,0,Low,1,6.0,Late - complex
REQ-00180,Individual,Finance operations,Portal,London,Complaint,5,2,20,1,65.9,-0.313,0,0,Urgent,1,8.9,Late - dependency
REQ-00181,Individual,IT support,Phone,London,Access issue,5,6,26,0,92.5,-0.234,0,0,Urgent,1,8.5,Late - dependency
REQ-00182,Individual,Customer success,Portal,London,Change request,2,2,31,0,152.3,-0.382,1,0,Low,1,6.0,Late - dependency
REQ-00183,Enterprise,Customer success,Phone,Wales,Complaint,5,1,26,1,84.1,-0.157,0,0,Urgent,1,9.4,Late - complex
REQ-00184,SME,Customer success,Portal,North West,Billing query,3,2,65,1,43.2,0.329,0,0,Low,1,8.7,Late - dependency
REQ-00185,Individual,Customer success,Email,Wales,Technical incident,5,0,38,3,48.0,0.822,1,1,Urgent,1,8.1,Late - staffing
REQ-00186,Public sector,Facilities,Chat,London,Complaint,4,0,36,3,70.0,-0.726,0,0,Standard,1,8.2,Late - complex
REQ-00187,Enterprise,Facilities,Portal,London,Complaint,1,4,19,0,47.8,-0.529,0,0,Low,1,3.9,Late - dependency
REQ-00188,SME,Facilities,Email,Midlands,Access issue,2,2,66,1,50.5,-0.306,0,0,Standard,0,3.9,Early close
REQ-00189,Individual,HR services,Chat,London,Billing query,3,1,2,0,104.5,0.395,0,0,Low,1,5.9,Late - staffing
REQ-00190,SME,HR services,Portal,London,Technical incident,2,2,40,1,105.9,-0.042,0,1,Low,1,6.1,Late - complex
REQ-00191,Individual,IT support,Portal,London,Billing query,1,2,12,1,12.4,-0.276,0,0,Low,0,4.9,On time
REQ-00192,SME,Facilities,Email,Northern Ireland,Billing query,5,1,55,0,41.4,0.373,0,0,Urgent,1,8.4,Late - staffing
REQ-00193,SME,Finance operations,Portal,South East,Access issue,5,0,27,0,53.8,0.48,0,0,Standard,1,6.7,Late - dependency
REQ-00194,Individual,IT support,Portal,South East,Access issue,3,1,21,0,91.0,0.042,0,0,Standard,1,4.8,Late - staffing
REQ-00195,SME,HR services,Email,Northern Ireland,Technical incident,2,0,5,2,110.0,-0.317,0,0,Low,1,7.1,Late - dependency
REQ-00196,SME,Finance operations,Phone,London,Technical incident,1,1,57,2,164.6,0.172,1,0,Standard,1,5.1,Late - staffing
REQ-00197,Public sector,IT support,Portal,Northern Ireland,Technical incident,5,2,29,0,53.7,-0.055,0,0,Urgent,1,8.9,Late - complex
REQ-00198,Individual,Customer success,Portal,London,Change request,2,1,19,0,55.4,-0.058,0,0,Low,0,3.2,On time
REQ-00199,SME,Customer success,Phone,South East,Policy question,1,1,60,2,90.6,-0.181,0,0,Low,1,4.8,Late - staffing
REQ-00200,SME,IT support,Email,Scotland,Billing query,2,2,2,1,46.1,0.466,0,0,Low,1,4.5,Late - dependency
REQ-00201,Individual,IT support,Phone,Scotland,Access issue,3,0,34,1,65.1,0.162,0,0,Standard,0,4.7,On time
REQ-00202,Individual,Finance operations,Portal,Midlands,Billing query,4,1,12,1,55.5,0.516,0,0,Standard,0,4.0,On time
REQ-00203,Enterprise,Customer success,Chat,London,Billing query,2,2,10,0,5.0,0.651,0,0,Low,0,3.5,On time
REQ-00204,SME,Customer success,Email,Northern Ireland,Access issue,5,0,2,1,74.3,0.257,0,1,Urgent,1,7.0,Late - complex
REQ-00205,SME,IT support,Portal,Scotland,Access issue,4,1,14,2,63.6,-0.178,0,0,Standard,1,3.3,Late - complex
REQ-00206,SME,Facilities,Chat,South East,Access issue,5,3,68,0,114.5,0.518,1,0,Urgent,1,8.3,Late - dependency
REQ-00207,SME,IT support,Email,Northern Ireland,Technical incident,2,2,32,3,70.2,0.26,0,0,Standard,1,4.6,Late - staffing
REQ-00208,Public sector,Finance operations,Portal,London,Technical incident,4,1,71,2,26.1,1.0,0,0,Standard,0,5.1,On time
REQ-00209,SME,Customer success,Portal,Midlands,Complaint,2,2,19,0,61.0,0.19,1,0,Urgent,1,5.7,Late - complex
REQ-00210,Enterprise,IT support,Email,Wales,Change request,4,2,55,0,5.0,0.364,0,0,Urgent,0,7.8,On time
REQ-00211,Public sector,IT support,Portal,South East,Technical incident,4,1,7,2,27.6,0.181,0,0,Standard,1,7.6,Late - staffing
